title,time,location,tags,url
MedKLM: Unifying Large Language Models and Knowledge Graphs for Medicine and Healthcare,1:00 pm – 4:00 pm,716 B,LECTURE-STYLE TUTORIAL,https://sites.google.com/view/medklm2025/home
Hyperbolic Deep Learning for Foundation Models: A TutorialHyperbolic Deep Learning for Foundation Models: A Tutorial,1:00 pm – 4:00 pm,712,LECTURE-STYLE TUTORIAL,https://hyperboliclearning.github.io/events/kdd2025tutorial
Second Workshop on Generative AI for Recommender Systems and Personalization,1:00 pm – 5:00 pm,715,WORKSHOP,https://genai-personalization.github.io/GenAIRecP2025
Structured Knowledge for Large Language Models,1:00 pm – 5:00 pm,717,WORKSHOP,https://sknowllm.github.io/
CANCELLED: Diffusion Models for Recommender Systems: From Content Distribution To Content Creation,1:00 pm – 4:00 pm,713 A,LECTURE-STYLE TUTORIAL,https://chiangel.github.io/KDD25-DiffRec-Tutorial/
Multi-modal Time Series Analysis: A Tutorial and Survey,1:00 pm – 4:00 pm,713 B,LECTURE-STYLE TUTORIAL,https://uconn-dsis.github.io/MMTSA_tutorial/
Temporal Graph Learning Workshop,1:00 pm – 5:00 pm,714 A,WORKSHOP,https://sites.google.com/view/tgl-workshop-2025/
Graph Prompting for Graph Learning Models: Recent Advances and Future Directions,1:00 pm – 4:00 pm,714 B,LECTURE-STYLE TUTORIAL,https://www.xingbofu.com/tutorials/kdd25-graph-prompting
KDD 2025 Opening Ceremony,5:15 pm – 6:30 pm,Exhibit Hall G,GENERAL SESSION,
Poster Reception: Group 1,6:45 pm – 9:00 pm,Exhibit Hall F,POSTERS,https://docs.google.com/spreadsheets/d/1og_MPSTvn0XF1ij9yReJYJ1D5ShDTCUyJ5RalXSvMe4/htmlview#gid=300395106
KDD 2025 Registration,7:30 am – 6:00 pm,600 Registration Area,REGISTRATION,
Spatio-Temporal Modeling 1,8:00 am – 10:00 am,601,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4638720/?widget=primary
Non-Stationary Environments & Optimization,8:00 am – 10:00 am,602,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728518/?widget=primary
Large Language Models,8:00 am – 10:00 am,603,DATASETS & BENCHMARKS TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728519/?widget=primary
Applications I,8:00 am – 10:00 am,604,DATASETS & BENCHMARKS TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728520/?widget=primary
Label Adaptation,8:00 am – 10:00 am,703,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728521/?widget=primary
"Recommender Systems, Diversity, and Shopping",8:00 am – 10:00 am,705,ADS TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728522/?widget=primary
Graph Neural Networks,8:00 am – 10:00 am,707,ADS TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728523/?widget=primary
Multimodal AI,8:00 am – 10:00 am,709,ADS TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728524/?widget=primary
Data Science for ML,8:00 am – 10:00 am,711,ADS TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728525/?widget=primary
Graph Neural Networks 1,8:00 am – 10:00 am,715,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728526/?widget=primary
Graph Neural Networks 2,8:00 am – 10:00 am,717,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728527/?widget=primary
Recommender Systems 1,8:00 am – 10:00 am,701 A,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728528/?widget=primary
Data Streams,8:00 am – 10:00 am,701 B,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728529/?widget=primary
Molecular Representation and Drug Discovery,8:00 am – 10:00 am,713 A,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728530/?widget=primary
Federated Learning 1,8:00 am – 10:00 am,714 A,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728531/?widget=primary
Adaptive Learning Models,8:00 am – 10:00 am,714 B,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728532/?widget=primary
Health Day,8:00 am – 5:30 pm,716 A,SPECIAL DAY,https://sites.google.com/g.ucla.edu/kdd-healthday/home
Awards Talk: Dissertation,8:00 am – 10:00 am,718 A,AWARDS TALKS,
Graph Modeling and Prediction,8:00 am – 10:00 am,718 B,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728534/?widget=primary
AI-Enhanced Model and Analysis,8:00 am – 10:00 am,801 A,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728535/?widget=primary
Machine Learning Optimization 1,8:00 am – 10:00 am,801 B,RESEARCH TRACK,https://whova.com/embedded/session/bMmjr7UCYdEHcXQvuqfVt0Si3cTgbY5AgOHyJZbjDyk%3D/4728536/?widget=primary
Responsible AI Day,8:30 am – 5:00 pm,713 B,SPECIAL DAY,https://sites.google.com/view/responsible-ai-day/
Expo Hall Open,10:00 am – 3:30 pm,Exhibit Hall E,,
Coffee Break,10:00 am – 10:30 am,Exhibit Hall E,NETWORKING,
Keynote Address: Causality from Multi-Modal Data,10:30 am – 12:00 pm,Exhibit Hall G,GENERAL SESSION,
Keynote Address: Deep Learning Meets Chip Design: Driving Next-Gen Efficiency and Innovation,10:30 am – 12:00 pm,Exhibit Hall G,GENERAL SESSION,
Lunch,12:00 pm – 1:00 pm,Exhibit Hall E,NETWORKING,
